岗位类型,招聘单位,城市,性别,年龄要求（区间）,特殊要求,是否接受有犯罪记录,位置,经度,维度,是否招聘,工作时间,薪资,工作内容,面试时间,试岗时间
美团外卖,集约配送-东莞问鼎商贸【广州】黄村站,广州,不限,18~41,会骑车，会导航，有健康证,否,广州市天河区中东新街十八巷3号（美团站点）,113.42473,23.120947,是,早10：00~晚21：00具体班次根据站点调班,"①阶梯奖励责任底薪3200元（全勤），单量阶梯2：501-800单6.3元(6.3*300),单量阶梯3：801-1100单6.5元/单(6.5*300),单量阶梯4：>1100单6.6元/单；
②满日程奖励：7.7元/天*合格出勤天数，封顶200。N-4天；
③工龄奖：3-6个月奖励200元（≥700单），6个月以上400元（≥700单）
④月度贡献奖励：＞800单，150元
⑤多因素补贴：重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等
⑥星级骑手：六星（0.713元/单）/五星（0.44919元/单）四星（0.2852元/单）三星（0.1426元/单）二星（0.09269元/单）一星（0/单）",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,东莞问鼎商贸【广州】黄村站,广州,不限,18~41,会骑车，会导航，有健康证,否,广州市天河区中东新街十八巷3号（美团站点）,113.42473,23.120947,是,早10：00~晚21：00具体班次根据站点调班,"①阶梯奖励责任底薪3200元（全勤），单量阶梯2：501-800单6.3元(6.3*300),单量阶梯3：801-1100单6.5元/单(6.5*300),单量阶梯4：>1100单6.6元/单；
②满日程奖励：7.7元/天*合格出勤天数，封顶200。N-4天；
③工龄奖：3-6个月奖励200元（≥700单），6个月以上400元（≥700单）
④月度贡献奖励：＞800单，150元
⑤多因素补贴：重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等
⑥星级骑手：六星（0.713元/单）/五星（0.44919元/单）四星（0.2852元/单）三星（0.1426元/单）二星（0.09269元/单）一星（0/单）",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,东莞问鼎商贸【广州】江南西站,广州,不限,18~41,会骑车，会导航，有健康证,否,广州市海珠区宝岗路马涌直街107号107自编之10铺(问鼎美团站点),113.261291,23.094377,是,早10：00~晚21：00具体班次根据站点调班,"①阶梯奖励责任底薪3425元（全勤），单量阶梯2：501-800单6.75元(6.75*300),单量阶梯3：801-1100单6.95元/单(6.95*300),单量阶梯4：>1100单7.05元/单；
②满日程奖励：7.7元/天*合格出勤天数，封顶200。N-4天；
③工龄奖：3-6个月奖励200元（≥700单），6个月以上400元（≥700单）
④月度贡献奖励：＞800单，150元
⑤多因素补贴：重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等
⑥星级骑手：六星（0.818元/单）/五星（0.51534元/单）四星（0.3272元/单）三星（0.1636元/单）二星（0.10634元/单）一星（0/单）",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,东莞问鼎商贸【广州】江南西二站,广州,不限,18~41,会骑车，会导航，有健康证,否,广州市海珠区江南西龙田东直街36号（可逸豪苑旁）,113.263527,23.096626,是,早10：00~晚21：00具体班次根据站点调班,"①阶梯奖励责任底薪3425元（全勤），单量阶梯2：501-800单6.75元(6.75*300),单量阶梯3：801-1100单6.95元/单(6.95*300),单量阶梯4：>1100单7.05元/单；
②满日程奖励：7.7元/天*合格出勤天数，封顶200。N-4天；
③工龄奖：3-6个月奖励200元（≥700单），6个月以上400元（≥700单）
④月度贡献奖励：＞800单，150元
⑤多因素补贴：重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等
⑥星级骑手：六星（0.818元/单）/五星（0.51534元/单）四星（0.3272元/单）三星（0.1636元/单）二星（0.10634元/单）一星（0/单）",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,东莞问鼎商贸【广州】花城汇站,广州,不限,18~41,会骑车，会导航，有健康证,否,广州市天河区广利路62号102,113.316749,23.12979,是,早10：00~晚21：00具体班次根据站点调班,"①阶梯奖励责任底薪3650元（全勤），单量阶梯2：501-800单7.2元(7.2*300),单量阶梯3：801-1100单7.4元/单(7.4*300),单量阶梯4：>1100单7.5元/单；
②满日程奖励：7.7元/天*合格出勤天数，封顶200。N-4天；
③工龄奖：3-6个月奖励200元（≥700单），6个月以上400元（≥700单）
④月度贡献奖励：＞800单，150元
⑤多因素补贴：重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等
⑥星级骑手：六星（0.863元/单）/五星（0.54369元/单）四星（0.3452元/单）三星（0.1726元/单）二星（0.11219元/单）一星（0/单）",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,东莞问鼎商贸【广州】五羊站,广州,不限,18~41,会骑车，会导航，有健康证,否,广州市越秀区明月二路明月二巷15号103美团站点,113.312389,23.121056,是,早10：00~晚21：00具体班次根据站点调班,"①阶梯奖励责任底薪3350元（全勤），单量阶梯2：501-800单6.6元(6.6*300),单量阶梯3：801-1100单6.8元/单(6.8*300),单量阶梯4：>1100单6.9元/单；
②满日程奖励：7.7元/天*合格出勤天数，封顶200。N-4天；
③工龄奖：3-6个月奖励200元（≥700单），6个月以上400元（≥700单）
④月度贡献奖励：＞800单，150元
⑤多因素补贴：重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等
⑥星级骑手：六星（0.807元/单）/五星（0.50841元/单）四星（0.3228元/单）三星（0.1614元/单）二星（0.10491元/单）一星（0/单）",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,四川途客【广州】正佳二站,广州,不限,18~41,会骑车，会导航，有健康证,否,广州市天河区德欣小区78号101（美团站点）,113.334238,23.130858,是,早10：00~晚21：00具体班次根据站点调班,"①单量阶梯1：0-500单7元/单；责任底薪（>=500单，全勤）3-650元；单量阶梯2：501-800单7.2元/单；单量阶梯3：801-1100单7.4元/单；单量阶梯4：>1100单7.5元/单；非全勤骑手无底薪，按照阶梯单价计算；（举例：完成800单，底薪+(800-500*单价)
②满日程奖励:7.7元/天*合格出勤天数，封顶200元。N-4天;
③成长奖励:达成相关条件，3个月奖励200元 ，6个月奖励300元，1年以上奖励400元
④月度贡献奖励: >800单，150元；
⑤多因素补贴: 重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等；
⑥星级骑手:6星0.86元/单；5星0.54元/单；4星0.35元/单；3星0.17元/单；2星0.11元/单；1星0元/单；
工资计算方法：收入=基础工资+满日程奖+工龄+月度贡献+多因素+星级奖励",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,四川途客【广州】香雪牌坊站,广州,不限,18~41,会骑车，会导航，有健康证,否,广州市黄埔区萝岗大街53号（美团站点）,113.507953,23.174016,是,早10：00~晚21：00具体班次根据站点调班,"①单量阶梯1：0-500单6.25元/单；责任底薪（>=500单，全勤）3275元；单量阶梯2：501-800单6.45元/单；单量阶梯3：801-1100单6.65元/单；单量阶梯4：>1100单6.75元/单；非全勤骑手无底薪，按照阶梯单价计算；（举例：完成800单，底薪+(800-500*单价)
②满日程奖励:7.7元/天*合格出勤天数，封顶200元。N-4天;
③成长奖励:达成相关条件，3个月奖励200元 ，6个月奖励300元，1年以上奖励400元
④月度贡献奖励: >800单，150元；
⑤多因素补贴: 重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等；
⑥星级骑手:6星0.79元/单；5星0.5元/单；4星0.32元/单；3星0.16元/单；2星0.1元/单；1星0元/单；
工资计算方法：收入=基础工资+满日程奖+工龄+月度贡献+多因素+星级奖励",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,四川途客【广州】三元里站,广州,不限,18~41,会骑车，会导航，有健康证,否,广州市越秀区瑶华中街36号（美团站点）,113.251307,23.161934,是,早10：00~晚21：00具体班次根据站点调班,"①单量阶梯1：0-500单6.25元/单；责任底薪（>=500单，全勤）3275元；单量阶梯2：501-800单6.45元/单；单量阶梯3：801-1100单6.65元/单；单量阶梯4：>1100单6.75元/单；非全勤骑手无底薪，按照阶梯单价计算；（举例：完成800单，底薪+(800-500*单价)
②满日程奖励:7.7元/天*合格出勤天数，封顶200元。N-4天;
③成长奖励:达成相关条件，3个月奖励200元 ，6个月奖励300元，1年以上奖励400元
④月度贡献奖励: >800单，150元；
⑤多因素补贴: 重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等；
⑥星级骑手:6星0.79元/单；5星0.5元/单；4星0.32元/单；3星0.16元/单；2星0.1元/单；1星0元/单；
工资计算方法：收入=基础工资+满日程奖+工龄+月度贡献+多因素+星级奖励",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,四川途客【广州】猎德站,广州,不限,18~41,会骑车，会导航，有健康证,否,天河区白马岗小区10栋3梯101-1（美团站点）,113.355276,23.122921,是,早10：00~晚21：00具体班次根据站点调班,"①单量阶梯1：0-500单6.85元/单；责任底薪（>=500单，全勤）3575元；单量阶梯2：501-800单7.05元/单；单量阶梯3：801-1100单7.25元/单；单量阶梯4：>1100单7.35元/单；非全勤骑手无底薪，按照阶梯单价计算；（举例：完成800单，底薪+(800-500*单价)
②满日程奖励:7.7元/天*合格出勤天数，封顶200元。N-4天;
③成长奖励:达成相关条件，3个月奖励200元 ，6个月奖励300元，1年以上奖励400元
④月度贡献奖励: >800单，150元；
⑤多因素补贴: 重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等；
⑥星级骑手:6星0.85元/单；5星0.54元/单；4星0.34元/单；3星0.17元/单；2星0.11元/单；1星0元/单；
工资计算方法：收入=基础工资+满日程奖+工龄+月度贡献+多因素+星级奖励",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,四川途客【广州】荔城站,广州,不限,18~41,会骑车，会导航，有健康证,否,广州市增城区荔城街观园东路北一巷6号,113.822603,23.283962,是,早10：00~晚21：00具体班次根据站点调班,"①单量阶梯1：0-500单4.75元/单；责任底薪（>=500单，全勤）2525元；单量阶梯2：501-800单4.95元/单；单量阶梯3：801-1100单5.15元/单；单量阶梯4：>1100单5.25元/单；非全勤骑手无底薪，按照阶梯单价计算；（举例：完成800单，底薪+(800-500*单价)
②满日程奖励:7.7元/天*合格出勤天数，封顶200元。N-4天;
③成长奖励:达成相关条件，3个月奖励200元 ，6个月奖励300元，1年以上奖励400元
④月度贡献奖励: >800单，150元；
⑤多因素补贴: 重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等；
⑥星级骑手:6星0.64元/单；5星0.4元/单；4星0.25元/单；3星0.13元/单；2星0.08元/单；1星0元/单；
工资计算方法：收入=基础工资+满日程奖+工龄+月度贡献+多因素+星级奖励",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,蓝海拓展-四川途客【广州】九龙城站,广州,不限,18~41,会骑车，会导航，有健康证,否,广州市黄埔区腾龙大道雍德南一街4号108,113.551535,23.330871,是,早10：00~晚21：00具体班次根据站点调班,"①单量阶梯1：0-500单6.25元/单；责任底薪（>=500单，全勤）3275元；单量阶梯2：501-800单6.45元/单；单量阶梯3：801-1100单6.65元/单；单量阶梯4：>1100单6.75元/单；非全勤骑手无底薪，按照阶梯单价计算；（举例：完成800单，底薪+(800-500*单价)
②满日程奖励:7.7元/天*合格出勤天数，封顶200元。N-4天;
③成长奖励:达成相关条件，3个月奖励200元 ，6个月奖励300元，1年以上奖励400元
④月度贡献奖励: >800单，150元；
⑤多因素补贴: 重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等；
⑥星级骑手:6星0.79元/单；5星0.5元/单；4星0.32元/单；3星0.16元/单；2星0.1元/单；1星0元/单；
工资计算方法：收入=基础工资+满日程奖+工龄+月度贡献+多因素+星级奖励",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,四川途客【广州】京溪站,广州,不限,18~41,会骑车，会导航，有健康证,否,广州市白云区同和蟹山中街28号（福利彩票旁）,113.326712,23.191928,是,早10：00~晚21：00具体班次根据站点调班,"①单量阶梯1：0-500单5.65元/单；责任底薪（>=500单，全勤）2975元；单量阶梯2：501-800单5.85元/单；单量阶梯3：801-1100单6.05元/单；单量阶梯4：>1100单6.15元/单；非全勤骑手无底薪，按照阶梯单价计算；（举例：完成800单，底薪+(800-500*单价)
②满日程奖励:7.7元/天*合格出勤天数，封顶200元。N-4天;
③成长奖励:达成相关条件，3个月奖励200元 ，6个月奖励300元，1年以上奖励400元
④月度贡献奖励: >800单，150元；
⑤多因素补贴: 重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等；
⑥星级骑手:6星0.73元/单；5星0.46元/单；4星0.29元/单；3星0.15元/单；2星0.09元/单；1星0元/单；
工资计算方法：收入=基础工资+满日程奖+工龄+月度贡献+多因素+星级奖励",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,四川途客【广州】黄埔二站,广州,不限,18~41,会骑车，会导航，有健康证,否,黄埔区港湾西三街小区41号（美团站点）,113.44385,23.104237,是,早10：00~晚21：00具体班次根据站点调班,"①单量阶梯1：0-500单5.5元/单；责任底薪（>=500单，全勤）2900元；单量阶梯2：501-800单5.7元/单；单量阶梯3：801-1100单5.9元/单；单量阶梯4：>1100单6元/单；非全勤骑手无底薪，按照阶梯单价计算；（举例：完成800单，底薪+(800-500*单价)
②满日程奖励:7.7元/天*合格出勤天数，封顶200元。N-4天;
③成长奖励:达成相关条件，3个月奖励200元 ，6个月奖励300元，1年以上奖励400元
④月度贡献奖励: >800单，150元；
⑤多因素补贴: 重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等；
⑥星级骑手:6星0.71元/单；5星0.45元/单；4星0.29元/单；3星0.14元/单；2星0.09元/单；1星0元/单；
工资计算方法：收入=基础工资+满日程奖+工龄+月度贡献+多因素+星级奖励",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,集约配送-盐城即美达【广州】大石站,广州,不限,18~40,会骑车，会导航，有健康证,否,番禺区宇宙工业园5栋101,113.324119,23.008969,是,早10：00~晚21：00具体班次根据站点调班,"①单量阶梯1：0-500单5.5元/单；责任底薪（>=500单，全勤）2900元；单量阶梯2：501-800单5.7元/单；单量阶梯3：801-1100单5.9元/单；单量阶梯4：>1100单6元/单；非全勤骑手无底薪，按照阶梯单价计算；（举例：完成800单，底薪+(800-500*单价)
②满日程奖励:7.7元/天*合格出勤天数，封顶200元。N-4天;
③成长奖励:达成相关条件，3个月奖励200元 ，6个月奖励300元，1年以上奖励400元
④月度贡献奖励: >800单，150元；
⑤多因素补贴: 重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等；
⑥星级骑手:6星0.71元/单；5星0.45元/单；4星0.29元/单；3星0.14元/单；2星0.09元/单；1星1元/单；
工资计算方法：收入=基础工资+满日程奖+工龄+月度贡献+多因素+星级奖励",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,盐城即美达【广州】大石站,广州,不限,18~40,会骑车，会导航，有健康证,否,番禺区宇宙工业园5栋101,113.324119,23.008969,是,早10：00~晚21：00具体班次根据站点调班,"①阶梯奖励责任底薪2975元（全勤），单量阶梯2：501-800单5.85元(5.85*300),单量阶梯3：801-1100单6.05元/单(6.05*300),单量阶梯4：>1100单6.15元/单；
②满日程奖励：7.7元/天*合格出勤天数，封顶200。N-4天；
③工龄奖：3-6个月奖励200元（≥700单），6个月以上400元（≥700单）
④月度贡献奖励：＞800单，150元
⑤多因素补贴：重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等
⑥星级骑手：六星（0.73元/单）五星（0.46元/单）四星（0.29元/单）三星（0.15元/单）二星 （0.09元/单）一星（0/单）",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,盐城即美达【广州】万博站,广州,不限,18~40,会骑车，会导航，有健康证,否,广东省广州市番禺区1号小镇创意产业园E栋E6-118,113.353126,22.992973,是,早10：00~晚21：00具体班次根据站点调班,"①阶梯奖励责任底薪3150元（全勤），单量阶梯2：501-800单6.15元(6.15*300),单量阶梯3：801-1100单6.35元/单(6.35*300),单量阶梯4：>1100单6.45元/单；
②满日程奖励：7.7元/天*合格出勤天数，封顶200。N-4天；
③工龄奖：3-6个月奖励200元（≥700单），6个月以上400元（≥700单）
④月度贡献奖励：＞800单，150元
⑤多因素补贴：重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等
⑥星级骑手：六星（0.82元/单）/五星（0.52元/单）四星（0.33元/单）三星（0.16元/单）二星（0.11元/单）一星（0/单）",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,集约配送-盐城即美达【广州】万博站,广州,不限,18~40,会骑车，会导航，有健康证,否,广东省广州市番禺区1号小镇创意产业园E栋E6-118,113.353126,22.992973,是,早10：00~晚21：00具体班次根据站点调班,"①阶梯奖励责任底薪3150元（全勤），单量阶梯2：501-800单6.15元(6.15*300),单量阶梯3：801-1100单6.35元/单(6.35*300),单量阶梯4：>1100单6.45元/单；
②满日程奖励：7.7元/天*合格出勤天数，封顶200。N-4天；
③工龄奖：3-6个月奖励200元（≥700单），6个月以上400元（≥700单）
④月度贡献奖励：＞800单，150元
⑤多因素补贴：重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等
⑥星级骑手：六星（0.82元/单）/五星（0.52元/单）四星（0.33元/单）三星（0.16元/单）二星（0.11元/单）一星（0/单）",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,盐城即美达【广州】万博二站,广州,不限,18~40,会骑车，会导航，有健康证,否,广东省广州市番禺区1号小镇创意产业园E栋E6-118,113.353126,22.992973,是,早10：00~晚21：00具体班次根据站点调班,"①阶梯奖励责任底薪3150元（全勤），单量阶梯2：501-800单6.15元(6.15*300),单量阶梯3：801-1100单6.35元/单(6.35*300),单量阶梯4：>1100单6.45元/单；
②满日程奖励：7.7元/天*合格出勤天数，封顶200。N-4天；
③工龄奖：3-6个月奖励200元（≥700单），6个月以上400元（≥700单）
④月度贡献奖励：＞800单，150元
⑤多因素补贴：重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等
⑥星级骑手：六星（0.82元/单）/五星（0.52元/单）四星（0.33元/单）三星（0.16元/单）二星（0.11元/单）一星（0/单）",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,集约配送-盐城即美达【广州】万博二站,广州,不限,18~40,会骑车，会导航，有健康证,否,广东省广州市番禺区1号小镇创意产业园E栋E6-118,113.353126,22.992973,是,早10：00~晚21：00具体班次根据站点调班,"①阶梯奖励责任底薪3150元（全勤），单量阶梯2：501-800单6.15元(6.15*300),单量阶梯3：801-1100单6.35元/单(6.35*300),单量阶梯4：>1100单6.45元/单；
②满日程奖励：7.7元/天*合格出勤天数，封顶200。N-4天；
③工龄奖：3-6个月奖励200元（≥700单），6个月以上400元（≥700单）
④月度贡献奖励：＞800单，150元
⑤多因素补贴：重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等
⑥星级骑手：六星（0.82元/单）/五星（0.52元/单）四星（0.33元/单）三星（0.16元/单）二星（0.11元/单）一星（0/单）",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,集约配送-盐城即美达【广州】人和站,广州,不限,18~40,会骑车，会导航，有健康证,否,广州市白云区人和镇人和安置区雅瑶十七巷22号,113.292388,23.345148,是,早10：00~晚21：00具体班次根据站点调班,"底薪部分：总计3550元，责任单量500单
包括底薪2550元，
全勤补贴300元，
车辆补贴300元，
高温补贴300元
大额补贴100元，
未满500单按每单7.1元计算； 提成部分:
501-800单每单7.3元
801-1200单每单7.7元
1201以上每单8.2元
全勤:每月合格出勤天数N-4",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,盐城即美达【广州】人和站,广州,不限,18~40,会骑车，会导航，有健康证,否,广州市白云区人和镇人和安置区雅瑶十七巷22号,113.292388,23.345148,是,早10：00~晚21：00具体班次根据站点调班,"①阶梯奖励责任底薪2975元（全勤），单量阶梯2：501-800单5.85元(5.85*300),单量阶梯3：801-1100单6.05元/单(6.05*300),单量阶梯4：>1100单6.15元/单；
②满日程奖励：7.7元/天*合格出勤天数，封顶200。N-4天；
③工龄奖：3-6个月奖励200元（≥700单），6个月以上400元（≥700单）
④月度贡献奖励：＞800单，150元
⑤多因素补贴：重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等
⑥星级骑手：六星（0.73元/单）五星（0.46元/单）四星（0.29元/单）三星（0.15元/单）二星 （0.09元/单）一星（0/单）",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,盐城即美达【广州】云台一站,广州,不限,18~40,会骑车，会导航，有健康证,否,广州市白云区棠景街道岗贝路华明街69号,113.258323,23.180622,是,早10：00~晚21：00具体班次根据站点调班,"①阶梯奖励责任底薪3350元（全勤），单量阶梯2：501-800单6.15元(6.15*300),单量阶梯3：801-1100单6.35元/单(6.35*300),单量阶梯4：>1100单6.45元/单；
②满日程奖励：7.7元/天*合格出勤天数，封顶200。N-4天；
③工龄奖：3-6个月奖励200元（≥700单），6个月以上400元（≥700单）
④月度贡献奖励：＞800单，150元
⑤多因素补贴：重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等
⑥星级骑手：六星（0.76元/单）/五星（0.48元/单）四星（0.31元/单）三星（0.15元/单）二星（0.11元/单）一星（0/单）",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,盐城即美达【广州】万博一站,广州,不限,18~40,会骑车，会导航，有健康证,否,广州市番禺区官堂村西河正道2巷12号,113.354364,23.013275,是,早10：00~晚21：00具体班次根据站点调班,"①阶梯奖励责任底薪3200元（全勤），单量阶梯2：501-800单6.3元(6.3*300),单量阶梯3：801-1100单6.5元/单(6.5*300),单量阶梯4：>1100单6.6元/单；
②满日程奖励：7.7元/天*合格出勤天数，封顶200。N-4天；
③工龄奖：3-6个月奖励200元（≥700单），6个月以上400元（≥700单）
④月度贡献奖励：＞800单，150元
⑤多因素补贴：重量补贴、距离补贴、时段补贴、大额补贴、企客补贴等
⑥星级骑手：六星（0.76元/单）五星（0.48元/单）四星（0.31元/单）三星（0.15元/单）二星 （0.1元/单）一星（0/单）",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,集约配送-盐城即美达【广州】万博一站,广州,不限,18~40,会骑车，会导航，有健康证,否,广州市番禺区官堂村西河正道2巷13号,113.354364,23.013275,是,早10：00~晚21：00具体班次根据站点调班,①基础单价6.5元/单，600单以后所有的单加0.8元，②：1元/单（当月准时率大于等于98%）③准时率低于98%没有奖励②平且扣0.2元/单,1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
美团外卖,集约配送-盐城即美达【广州】江南西站,广州,不限,18~40,会骑车，会导航，有健康证,否,广州市海珠区龙凤街道羊城红爱心驿站美团站点,113.262427,23.096859,是,早10：00~晚21：00具体班次根据站点调班,"基本工资(含保底单数)
单量提成
社保补贴
体验奖
全勤奖
外单
宵夜补贴
2700元(含500单)
501-800单，8.5元/单(此阶段300单)
801单以上，9元/单(此阶段200单)
600元(需满足喜茶或奈雪订单500单)
准时率≥98%:200元(需满足喜茶或奈雪订单500单)
300元(需满足喜茶或奈雪订单500单)
7元/单
0-3点补贴2元/单
首月入职保护期(不享受奖励补贴)8元/单(首个自然月到月底结束);老员工不满500单7.5元/单，不享受奖励补贴
说明:每月有效出勤28天，未满28天，补贴奖励按实际出勤天数等比例计算",1、通过手机APP及时接收客户外卖订单，严格按照操作流程，到指定餐厅进行取餐，确保按时将客户的餐送到指定地，所有订单系统自动派单。取餐范围小，固定1-3公里范围。,10：30~18：00,10：30~18：00
